Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2015,48,11/22/15,11/28/15,262,9
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,27,6/26/16,7/2/16,"1,313",39
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2015,47,11/15/15,11/21/15,427,11
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,10,2/28/16,3/5/16,26,2
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,4,1/17/16,1/23/16,"71,292","1,777"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,42,10/11/15,10/17/15,"273,884","6,244"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,43,10/16/16,10/22/16,"19,465",368
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2015,46,11/8/15,11/14/15,"1,950",48
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2015,51,12/13/15,12/19/15,"1,507",29
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,30,7/17/16,7/23/16,"17,250",402
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,32,8/2/15,8/8/15,"63,664","1,591"
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,37,9/4/16,9/10/16,"58,336","1,388"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2017,2,1/8/17,1/14/17,"20,717",390
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,29,7/10/16,7/16/16,"139,567","3,109"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,40,9/25/16,10/1/16,"115,596","2,463"
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,22,5/22/16,5/28/16,752,18
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,27,6/28/15,7/4/15,513,12
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2017,7,2/12/17,2/18/17,"33,029",632
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,35,8/23/15,8/29/15,"108,818","2,593"
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2017,11,3/12/17,3/18/17,"36,307",668
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,41,10/2/16,10/8/16,"12,422",315
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,27,6/26/16,7/2/16,"109,492","2,621"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,38,9/13/15,9/19/15,"255,269","7,009"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2017,12,3/19/17,3/25/17,"317,426","8,313"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,29,7/10/16,7/16/16,"248,486","5,236"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,25,6/12/16,6/18/16,"4,069",83
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,26,6/19/16,6/25/16,"14,333",327
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2015,40,9/27/15,10/3/15,298,8
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2017,5,1/29/17,2/4/17,"96,577","2,225"
B02765,1,GRUN LLC,UBER-GRUN LLC,2017,5,1/29/17,2/4/17,"44,160","1,168"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,46,11/6/16,11/12/16,"59,611","2,269"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,6,1/31/16,2/6/16,"1,440",34
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,52,12/18/16,12/24/16,"16,504",382
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,40,9/25/16,10/1/16,"16,208",357
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2017,1,1/1/17,1/7/17,"99,632","2,301"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,35,8/21/16,8/27/16,"50,136","1,159"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2017,7,2/12/17,2/18/17,"32,016",597
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,3,1/10/16,1/16/16,"65,889","1,704"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,44,10/23/16,10/29/16,"7,728",166
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,46,11/6/16,11/12/16,"21,507",446
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,38,9/11/16,9/17/16,"11,640",208
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,45,10/30/16,11/5/16,"228,685","5,179"
